antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1027,0.0011,0.0007,0.006815968841285297,6.196335310259361,1.0,0.00058703,1.0057551960784314,0.9345974431230198,0.006789524733268671,0.005722263330949341,0.32158980260246084
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.1254,0.0012,0.0009,0.007177033492822966,5.980861244019139,1.0,0.0007495199999999999,1.0060202409638554,0.9522067230734049,0.007159904534606205,0.005984214550283306,0.3785885167464115
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'TWF'})",0.0275,0.0019,0.0003,0.010909090909090908,5.741626794258373,1.0,0.00024775,1.0091084558823529,0.8491859468723222,0.010309278350515464,0.009026240766547348,0.08440191387559808
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'TWF'})",0.1222,0.001,0.0007,0.0057283142389525366,5.728314238952536,1.0,0.0005778,1.0047555555555556,0.9403378576310906,0.005714285714285714,0.0047330472862387755,0.3528641571194763
"frozenset({'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.0389,0.0018,0.0004,0.010282776349614397,5.712653527563554,1.0,0.00032998,1.008570909090909,0.8583394027676621,0.009925558312655087,0.008498072880799836,0.11625249928591831
"frozenset({'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF'})",0.0389,0.0018,0.0004,0.010282776349614397,5.712653527563554,1.0,0.00032998,1.008570909090909,0.8583394027676621,0.009925558312655087,0.008498072880799836,0.11625249928591831
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'TWF', 'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High'})",0.1064,0.0015,0.0009,0.008458646616541353,5.639097744360901,1.0,0.0007404,1.0070180094786731,0.9206207102357506,0.008411214953271028,0.006969100266941765,0.3042293233082707
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.0267,0.0021,0.0003,0.011235955056179773,5.350454788657035,1.0,0.00024392999999999998,1.0092397727272728,0.8354053221000718,0.010526315789473682,0.009155180936145679,0.07704654895666131
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'TWF'})",0.1009,0.0013,0.0007,0.006937561942517344,5.336586109628726,1.0,0.00056883,1.0056769461077846,0.9038085704752371,0.006896551724137932,0.005644900312924145,0.2726995502020279
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF', 'Tool wear [min]_Tool wear [min]_High'})",0.0428,0.0018,0.0004,0.009345794392523366,5.192107995846314,1.0,0.00032296,1.0076169811320754,0.8435018804847471,0.009049773755656108,0.007559401314890168,0.1157840083073728
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF'})",0.0428,0.0018,0.0004,0.009345794392523366,5.192107995846314,1.0,0.00032296,1.0076169811320754,0.8435018804847471,0.009049773755656108,0.007559401314890168,0.1157840083073728
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.1947,0.0003,0.0003,0.0015408320493066254,5.136106831022085,1.0,0.00024158999999999997,1.0012427469135803,0.9999999999999999,0.0015408320493066254,0.0012412044106298143,0.5007704160246533
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'TWF', 'Air temperature [K]_Air temperature [K]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.1307,0.0009,0.0006,0.004590665646518745,5.1007396072430495,1.0,0.0004823699999999999,1.0037076863950807,0.9248245714943057,0.004580152671755724,0.0036939902377327045,0.3356286661565927
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.1046,0.0017,0.0009,0.008604206500956023,5.061297941738837,1.0,0.00072218,1.0069641272902603,0.8961606234333508,0.008538899430740038,0.006915963639142565,0.2690079856034192
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High'})",0.1273,0.0013,0.0008,0.006284367635506678,4.834128950389752,1.0,0.00063451,1.0050158893280632,0.908831786409992,0.006259780907668232,0.00499085574797905,0.31083449151006104
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})",0.2073,0.0001,0.0001,0.000482392667631452,4.82392667631452,1.0,7.927e-05,1.0003825772200772,1.0,0.000482392667631452,0.00038243091072252426,0.5002411963338157
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.2073,0.0003,0.0003,0.001447178002894356,4.82392667631452,1.0,0.00023780999999999997,1.0011488405797102,1.0,0.001447178002894356,0.0011475222595722276,0.5007235890014472
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.2073,0.0003,0.0003,0.001447178002894356,4.82392667631452,1.0,0.00023780999999999997,1.0011488405797102,1.0,0.001447178002894356,0.0011475222595722276,0.5007235890014472
"frozenset({'Air temperature [K]_Air temperature [K]_High', 'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'TWF'}),0.0226,0.0046,0.0005,0.022123893805309738,4.809542131589073,1.0,0.00039604,1.0179203619909503,0.8103949253120524,0.018726591760299626,0.017604876235995316,0.0654097729896114
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.1262,0.002,0.0012,0.009508716323296354,4.7543581616481765,1.0,0.0009475999999999998,1.0075808,0.9037155718318454,0.009448818897637795,0.00752376385099835,0.30475435816164814
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF', 'Air temperature [K]_Air temperature [K]_High'})",0.1425,0.0012,0.0008,0.005614035087719299,4.678362573099416,1.0,0.000629,1.004438955539873,0.9169096209912535,0.005598320503848846,0.004419338293671705,0.336140350877193
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF'})",0.1481,0.0018,0.0012,0.008102633355840647,4.501462975467026,1.0,0.0009334199999999999,1.0063541184479237,0.9130766521892241,0.008069939475453933,0.006313998553236473,0.3373846500112536
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})",frozenset({'TWF'}),0.0194,0.0046,0.0004,0.020618556701030927,4.482294935006723,1.0,0.00031076,1.016355789473684,0.7922700387517846,0.01694915254237288,0.016092582580903084,0.053787539220080685
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.1254,0.0025,0.0014,0.011164274322169057,4.465709728867623,1.0,0.0010865,1.0087620967741935,0.887344418673026,0.011067193675889328,0.008685989295407575,0.2855821371610845
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'TWF'})",0.1222,0.0019,0.001,0.008183306055646482,4.307003187182358,1.0,0.00076782,1.0063351485148515,0.8747095010252904,0.008123476848090984,0.0062952670630663085,0.2672495477646653
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})",frozenset({'TWF'}),0.0203,0.0046,0.0004,0.01970443349753695,4.2835724994645545,1.0,0.00030662,1.015408040201005,0.782433397978973,0.0163265306122449,0.015174234978437765,0.0533304776183337
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.0351,0.002,0.0003,0.008547008547008546,4.273504273504273,1.0,0.00022979999999999997,1.0066034482758621,0.7938646491864443,0.008152173913043478,0.006560128804617781,0.07927350427350427
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_Low', 'TWF'})",0.0351,0.002,0.0003,0.008547008547008546,4.273504273504273,1.0,0.00022979999999999997,1.0066034482758621,0.7938646491864443,0.008152173913043478,0.006560128804617781,0.07927350427350427
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'TWF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High'})",0.0361,0.0026,0.0004,0.0110803324099723,4.261666311527808,1.0,0.00030614,1.008575350140056,0.794013901857039,0.010443864229765013,0.008502438750724182,0.08246324312806308
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'TWF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.0361,0.0026,0.0004,0.0110803324099723,4.261666311527808,1.0,0.00030614,1.008575350140056,0.794013901857039,0.010443864229765013,0.008502438750724182,0.08246324312806308
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})",0.0537,0.0022,0.0005,0.00931098696461825,4.232266802099204,1.0,0.00038186000000000003,1.0071778195488723,0.8070590721758427,0.009025270758122744,0.007126665629002054,0.11829185711867275
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.0355,0.002,0.0003,0.008450704225352112,4.225352112676056,1.0,0.00022899999999999998,1.006505681818182,0.791429065146017,0.008064516129032258,0.006463631488328769,0.07922535211267605
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Tool wear [min]_Tool wear [min]_High'})",0.0355,0.002,0.0003,0.008450704225352112,4.225352112676056,1.0,0.00022899999999999998,1.006505681818182,0.791429065146017,0.008064516129032258,0.006463631488328769,0.07922535211267605
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.1068,0.002,0.0009,0.008426966292134831,4.213483146067415,1.0,0.0006864,1.0064815864022663,0.8538587848932676,0.008341056533827617,0.006439845984103037,0.2292134831460674
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})",frozenset({'TWF'}),0.0262,0.0046,0.0005,0.019083969465648856,4.148689014271491,1.0,0.00037948,1.0147657587548637,0.7793797494352023,0.0165016501650165,0.01455090362231149,0.06388981081978096
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High', 'Air temperature [K]_Air temperature [K]_Low'})",frozenset({'TWF'}),0.0158,0.0046,0.0003,0.018987341772151896,4.127682993946064,1.0,0.00022731999999999999,1.0146658064516128,0.7698977172661383,0.014925373134328356,0.014453829387333632,0.042102366538249864
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'TWF', 'Air temperature [K]_Air temperature [K]_High'})",0.1262,0.0027,0.0014,0.01109350237717908,4.1087045841403995,1.0,0.00105926,1.0084876602564103,0.8658895464800707,0.010980392156862745,0.008416226187886374,0.2648060104478488
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1464,0.001,0.0006,0.004098360655737704,4.098360655737705,1.0,0.00045359999999999997,1.003111111111111,0.8856607310215557,0.004087193460490463,0.0031014621178555597,0.3020491803278688
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.123,0.002,0.001,0.008130081300813009,4.065040650406504,1.0,0.000754,1.0061803278688526,0.8597491448118586,0.008064516129032258,0.006142366032878766,0.2540650406504065
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'TWF'})",0.1064,0.0028,0.0012,0.011278195488721804,4.027926960257787,1.0,0.00090208,1.0085749049429658,0.8412414204715011,0.011111111111111112,0.008502001091778785,0.2199248120300752
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.2484,0.0003,0.0003,0.0012077294685990338,4.025764895330113,1.0,0.00022547999999999996,1.0009088270858526,0.9999999999999999,0.0012077294685990338,0.0009080018691597818,0.5006038647342995
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})",frozenset({'TWF'}),0.027,0.0046,0.0005,0.018518518518518517,4.025764895330113,1.0,0.00037580000000000003,1.0141811320754717,0.7724563206577596,0.01607717041800643,0.013982839580589228,0.06360708534621579
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})",0.2484,0.0001,0.0001,0.00040257648953301127,4.025764895330113,1.0,7.516e-05,1.0003026983487717,1.0,0.00040257648953301127,0.00030260675020803206,0.5002012882447665
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})",0.2484,0.0009,0.0009,0.003623188405797101,4.025764895330113,1.0,0.0006764399999999999,1.002733090909091,0.9999999999999999,0.003623188405797101,0.00272564148313192,0.5018115942028986
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.2484,0.0008,0.0008,0.00322061191626409,4.025764895330113,1.0,0.00060128,1.0024284329563813,1.0,0.00322061191626409,0.0024225499562290738,0.501610305958132
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.2484,0.0012,0.0012,0.004830917874396135,4.025764895330113,1.0,0.0009019199999999998,1.0036485436893203,0.9999999999999999,0.004830917874396135,0.003635280210648914,0.5024154589371981
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.2484,0.0003,0.0003,0.0012077294685990338,4.025764895330113,1.0,0.00022547999999999996,1.0009088270858526,0.9999999999999999,0.0012077294685990338,0.0009080018691597818,0.5006038647342995
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.2484,0.0007,0.0007,0.002818035426731079,4.025764895330113,1.0,0.0005261199999999999,1.0021240209931368,0.9999999999999998,0.002818035426731079,0.0021195190900941446,0.5014090177133655
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'TWF'})",0.2484,0.001,0.001,0.004025764895330112,4.025764895330112,1.0,0.0007516000000000001,1.0030379951495554,1.0,0.004025764895330112,0.0030287936890191314,0.5020128824476651
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.2484,0.002,0.002,0.008051529790660225,4.025764895330112,1.0,0.0015032000000000001,1.0061006493506495,1.0,0.008051529790660225,0.006063657104869964,0.5040257648953301
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Air temperature [K]_Air temperature [K]_High'})",0.2484,0.001,0.001,0.004025764895330112,4.025764895330112,1.0,0.0007516000000000001,1.0030379951495554,1.0,0.004025764895330112,0.0030287936890191314,0.5020128824476651
"frozenset({'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'TWF', 'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})",0.2489,0.0005,0.0005,0.002008838891120932,4.017677782241864,1.0,0.00037555,1.0015118760064412,1.0,0.002008838891120932,0.0015095936879649145,0.5010044194455605
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low'})",0.2491,0.0003,0.0003,0.001204335608189482,4.014452027298273,1.0,0.00022527,1.000905426045016,1.0,0.001204335608189482,0.000904606990286568,0.5006021678040947
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.1254,0.002,0.001,0.007974481658692184,3.987240829346092,1.0,0.0007492,1.0060225080385852,0.8566201692202149,0.00791139240506329,0.00598645456782784,0.2539872408293461
